,,3,,2,,1,,,,,,,,,,,,,,,,2,,,,
,,,,,,,,,,,,,,,,,6,,5,,,,,4,,
,,,7,,9,,,,,,9,,8,,,,,,,,,,,,,
,2,,,,,,,,,,,,2,,1,,,,,3,,,,,,
,,,4,,,,,6,,5,,,,,,,,,,,,,,,,
,8,9,,,,,,,,,,,,,,,,,8,,7,,,,,9
,,,,2,,,2,,,,,,,,,,3,,,3,,2,,1,,
,5,,,,,,,,4,,,,,,4,,,,,6,,,6,,,
,,,7,,9,,,,,,9,7,,,,,9,,8,,,8,,,,
,,,1,,3,,,3,,,,1,,,,,,,,,1,,,,2,
4,,,,5,6,,5,,,,,,,6,,,,,,6,,5,6,,,
,,,7,,,,,,,8,,,,,,,9,7,,,,,,,,
1,2,,,,,,2,,,,3,,,,,,,,,,1,,,,,
,,6,,,,,5,,,,,4,,,,,,,,,,5,6,,5,6
,,,,8,,,,,,,,,,,7,,,,,9,,,,,,
1,2,,1,2,,,,,1,,,,,,,2,,,,,,,3,,,
,,6,,,6,,,,,,6,,5,,,,,4,,6,,,,,,
7,,,7,,,,,9,,,,,,,,,9,7,,,,,,,8,
1,2,,1,,3,,,,1,,,,,,1,2,3,,2,,1,2,3,1,2,3
,,6,,5,6,4,,,,,6,,,,4,5,6,,,,4,5,6,4,5,6
,,,,,,,,,,,,,,9,7,8,9,,,,7,8,9,7,8,9
1,2,3,1,2,3,,,,,,,,,3,,,,1,2,3,,,,1,2,3
4,5,6,4,5,6,,,,,,,,,,4,,,4,5,6,,,,4,5,6
7,8,9,7,8,9,,8,,7,,,,,,,,,7,8,9,,,9,7,8,9
1,2,3,1,2,3,,,,,2,,1,2,3,,,,1,,,1,2,3,,,3
4,5,6,4,5,6,,,,,,,4,5,6,,,,,,,4,5,6,,,
7,8,9,7,8,9,7,,,,,,7,8,9,,8,,,,,7,8,9,,,
